id,when_ordered,departure_datetime,arrival_datetime,customer_id
1,2024-12-17,2024-12-20,2024-12-26,0
2,2024-12-17,2024-12-20,2024-12-26,0
3,2024-12-17,2024-12-20,2024-12-26,0
4,2024-12-17,2024-12-20,2024-12-26,0
5,2022-03-27,2022-03-28,2022-04-01,1
6,2023-09-07,2023-09-09,2023-09-13,2
7,2023-09-07,2023-09-09,2023-09-13,2
8,2023-09-07,2023-09-09,2023-09-13,2
9,2023-09-07,2023-09-09,2023-09-13,2
10,2023-09-07,2023-09-09,2023-09-13,2
11,2023-12-08,2023-12-11,2023-12-16,3
12,2023-12-08,2023-12-11,2023-12-16,3
13,2023-12-08,2023-12-11,2023-12-16,3
14,2023-12-08,2023-12-11,2023-12-16,3
15,2023-12-08,2023-12-11,2023-12-16,3
16,2023-12-08,2023-12-11,2023-12-16,3
17,2023-12-08,2023-12-11,2023-12-16,3
18,2023-12-08,2023-12-11,2023-12-16,3
19,2023-12-08,2023-12-11,2023-12-16,3
20,2023-12-08,2023-12-11,2023-12-16,3
21,2023-04-15,2023-04-17,2023-04-27,4
22,2024-11-20,2024-11-23,2024-11-30,5
23,2023-10-22,2023-10-23,2023-11-02,6
24,2023-10-22,2023-10-23,2023-11-02,6
25,2023-10-22,2023-10-23,2023-11-02,6
26,2023-10-22,2023-10-23,2023-11-02,6
27,2023-10-22,2023-10-23,2023-11-02,6
28,2023-10-22,2023-10-23,2023-11-02,6
29,2023-10-22,2023-10-23,2023-11-02,6
30,2023-10-22,2023-10-23,2023-11-02,6
31,2023-10-22,2023-10-23,2023-11-02,6
32,2023-10-22,2023-10-23,2023-11-02,6
33,2024-09-28,2024-09-29,2024-10-08,7
34,2024-09-28,2024-09-29,2024-10-08,7
35,2024-09-28,2024-09-29,2024-10-08,7
36,2024-09-28,2024-09-29,2024-10-08,7
37,2024-09-28,2024-09-29,2024-10-08,7
38,2024-09-28,2024-09-29,2024-10-08,7
39,2022-09-13,2022-09-15,2022-09-20,9
40,2022-09-13,2022-09-15,2022-09-20,9
41,2022-09-13,2022-09-15,2022-09-20,9
42,2022-09-13,2022-09-15,2022-09-20,9
43,2022-09-13,2022-09-15,2022-09-20,9
44,2023-06-18,2023-06-20,2023-06-29,12
45,2023-06-18,2023-06-20,2023-06-29,12
46,2023-06-18,2023-06-20,2023-06-29,12
47,2022-04-28,2022-05-01,2022-05-10,17
