cart_item_id,cart_id,item_id,quantity
0,1,107,1
1,1,72,1
2,1,189,1
3,2,215,6
4,3,150,3
5,3,309,3
6,3,258,3
7,3,344,3
8,3,492,3
9,3,414,3
10,3,294,3
11,3,386,3
12,3,192,3
13,4,170,1
14,5,377,1
15,6,329,1
16,7,365,3
17,7,251,3
18,7,29,3
19,8,170,3
20,9,50,1
21,10,17,2
22,11,422,1
23,12,433,3
24,12,377,3
25,13,375,1
26,13,370,1
27,13,399,1
28,13,92,1
29,14,350,1
30,14,56,1
31,14,319,1
32,15,325,3
33,15,451,3
34,15,423,3
35,15,393,3
36,16,363,2
37,16,430,2
38,16,48,2
39,16,87,2
40,17,455,1
41,17,198,1
42,17,334,1
43,17,376,1
44,17,50,1
45,17,389,1
46,17,200,1
47,17,257,1
48,18,417,5
49,18,445,5
50,18,369,5
51,19,341,1
52,20,91,1
53,21,370,2
54,21,362,2
55,21,390,2
56,21,44,2
57,21,51,2
58,21,28,2
59,21,379,2
60,21,206,2
61,21,430,2
62,21,269,2
63,22,62,3
64,22,441,3
65,23,207,1
66,24,393,1
67,24,352,1
68,24,387,1
69,24,445,1
70,24,247,1
71,24,215,1
72,24,395,1
73,24,421,1
74,25,263,1
75,26,396,1
76,26,334,1
77,26,314,1
78,26,322,1
79,26,192,1
80,26,395,1
81,26,342,1
82,26,212,1
83,26,91,1
84,26,430,1
85,26,457,1
86,27,212,1
87,28,386,2
88,29,256,2
89,30,360,5
90,31,365,1
91,31,346,1
92,31,249,1
93,31,417,1
94,31,456,1
95,32,360,1
96,32,402,1
97,32,270,1
98,32,196,1
99,32,363,1
100,32,250,1
101,32,349,1
102,32,421,1
103,33,457,3
104,33,400,3
105,33,186,3
106,33,187,3
107,33,406,3
108,33,238,3
109,33,362,3
110,33,471,3
111,33,478,3
112,33,167,3
113,34,321,1
114,34,495,1
115,34,488,1
116,34,190,1
117,34,469,1
118,34,352,1
119,34,138,1
120,35,151,1
121,36,17,7
122,36,439,7
123,36,358,7
124,36,308,7
125,36,179,7
126,36,52,7
127,36,199,7
128,36,24,7
129,37,247,1
130,37,170,1
131,37,458,1
132,37,191,1
133,37,93,1
134,37,159,1
135,38,151,5
136,38,138,5
137,38,192,5
138,38,403,5
139,38,456,5
140,39,189,1
141,39,496,1
142,40,461,3
143,41,168,1
144,42,390,4
145,42,445,4
146,42,383,4
147,42,48,4
148,42,370,4
149,43,458,3
150,44,425,2
151,45,36,3
152,46,435,1
153,46,446,1
154,46,196,1
155,46,165,1
156,46,366,1
157,46,19,1
158,46,50,1
159,46,435,1
160,46,166,1
161,46,32,1
162,46,391,1
163,46,377,1
164,46,163,1
165,46,336,1
166,46,21,1
167,47,356,3
168,48,366,1
169,48,388,1
170,48,335,1
171,49,198,3
172,50,361,1
173,50,370,1
174,50,349,1
175,50,252,1
176,50,335,1
177,51,367,4
178,52,32,1
179,52,344,1
180,52,425,1
181,52,377,1
182,52,82,1
183,52,446,1
184,53,41,2
185,54,28,2
186,54,192,2
187,54,375,2
188,55,200,1
189,55,23,1
190,55,384,1
191,55,382,1
192,55,355,1
193,55,383,1
194,55,332,1
195,55,338,1
196,56,269,1
197,56,168,1
198,57,365,1
199,57,390,1
200,57,190,1
201,57,190,1
202,57,269,1
203,57,166,1
204,57,450,1
205,57,434,1
206,57,205,1
207,57,30,1
208,57,171,1
209,57,458,1
210,57,341,1
211,58,348,1
212,58,20,1
213,58,343,1
214,58,21,1
215,58,349,1
216,58,356,1
217,58,334,1
218,58,164,1
219,58,339,1
220,59,28,3
221,59,354,3
222,59,364,3
223,59,346,3
224,59,422,3
225,59,387,3
226,59,385,3
227,59,360,3
228,60,453,1
229,61,197,1
230,62,378,3
231,62,190,3
232,62,371,3
233,62,16,3
234,63,358,1
235,64,357,4
236,64,369,4
237,64,31,4
238,64,459,4
239,64,462,4
240,64,461,4
241,65,498,1
242,65,247,1
243,65,418,1
244,65,384,1
245,65,449,1
246,65,269,1
247,65,455,1
248,65,44,1
249,65,204,1
250,66,500,1
251,67,257,6
252,68,139,2
253,68,343,2
254,68,308,2
255,68,261,2
256,69,300,1
257,70,393,1
258,71,16,7
259,72,31,2
260,72,39,2
261,72,335,2
262,72,17,2
263,72,383,2
264,72,460,2
265,72,339,2
266,72,452,2
267,72,419,2
268,72,496,2
269,72,379,2
270,73,356,1
271,73,27,1
272,74,320,1
273,74,163,1
274,74,164,1
275,75,166,1
276,76,23,2
277,77,462,1
278,77,370,1
279,77,360,1
280,77,390,1
281,77,196,1
282,77,369,1
283,77,321,1
284,77,457,1
285,77,375,1
286,78,497,3
287,78,393,3
288,78,356,3
289,78,452,3
290,78,354,3
291,79,351,1
292,80,52,1
293,80,27,1
294,80,368,1
295,80,28,1
296,81,45,3
297,82,352,3
298,83,34,1
299,84,355,1
300,84,386,1
301,84,196,1
302,85,253,1
303,86,356,2
304,87,356,3
305,87,345,3
306,87,361,3
307,87,342,3
308,88,378,5
309,88,198,5
310,88,379,5
311,89,197,2
312,89,169,2
313,89,349,2
314,89,190,2
315,89,343,2
316,90,444,2
317,91,358,1
318,91,209,1
319,91,335,1
320,92,357,1
321,93,321,5
322,94,443,1
323,95,190,1
324,96,367,3
325,96,345,3
326,96,431,3
327,96,16,3
328,96,371,3
329,97,461,1
330,97,353,1
331,97,393,1
332,98,374,2
333,99,251,2
334,100,428,1
335,100,387,1
336,101,166,2
337,102,357,6
338,103,360,1
339,103,378,1
340,103,189,1
341,103,377,1
342,103,444,1
343,104,252,1
344,105,351,3
345,106,220,1
346,107,270,1
347,108,254,2
348,109,469,3
349,110,384,6
350,111,20,4
351,111,158,4
352,112,188,1
353,112,266,1
354,112,311,1
355,112,219,1
356,112,339,1
357,112,413,1
358,112,354,1
359,112,102,1
360,113,216,1
361,113,471,1
362,113,137,1
363,113,144,1
364,113,138,1
365,113,439,1
366,113,459,1
367,114,92,1
368,115,420,1
369,116,314,1
370,117,47,1
371,117,49,1
372,117,332,1
373,117,335,1
374,117,207,1
375,118,452,1
376,119,27,5
377,119,496,5
378,120,189,5
379,120,385,5
380,120,352,5
381,120,164,5
382,120,391,5
383,120,268,5
384,120,382,5
385,120,201,5
386,120,210,5
387,120,449,5
388,120,343,5
389,121,45,1
390,121,319,1
